dist = 1.820766e-13 ,duration = 1.972125
dist = 1.262102e-12 ,duration = 1.968406
dist = 3.312906e-13 ,duration = 1.962783
dist = 4.440892e-15 ,duration = 1.958355
dist = 6.023654e-13 ,duration = 1.993224
dist = 1.247891e-12 ,duration = 1.979800
dist = 2.101097e-13 ,duration = 1.983103
dist = 1.820766e-13 ,duration = 2.018552
dist = 6.190604e-13 ,duration = 1.984821
dist = 2.353673e-13 ,duration = 1.946955
dist = 1.796341e-13 ,duration = 2.004472
dist = 3.552714e-14 ,duration = 2.070007
dist = 1.314504e-13 ,duration = 1.977567
dist = 1.207923e-13 ,duration = 1.988497
dist = 1.030287e-13 ,duration = 1.990833
dist = 1.750024e-13 ,duration = 2.013413
dist = 2.309264e-13 ,duration = 2.023202
dist = 3.219647e-13 ,duration = 1.970929
dist = 2.284978e-13 ,duration = 2.018896
dist = 8.881784e-14 ,duration = 1.968958
dist = 5.073719e-13 ,duration = 1.959763
dist = 4.440892e-14 ,duration = 1.940514
dist = 4.707346e-14 ,duration = 1.994133
dist = 6.616929e-13 ,duration = 1.978738
dist = 4.836687e-13 ,duration = 1.947676
dist = 7.283063e-13 ,duration = 1.953333
dist = 1.778577e-13 ,duration = 2.051975
dist = 5.151435e-13 ,duration = 1.954795
dist = 3.161915e-13 ,duration = 1.968604
dist = 1.598721e-12 ,duration = 1.954442
dist = 1.410427e-12 ,duration = 2.044625
dist = 8.881784e-14 ,duration = 1.947113
dist = 7.072121e-13 ,duration = 1.975336
dist = 7.105427e-14 ,duration = 1.964684
dist = 3.996803e-13 ,duration = 2.032182
dist = 5.373479e-13 ,duration = 1.945887
dist = 2.309264e-13 ,duration = 2.024378
dist = 9.068302e-13 ,duration = 1.990291
dist = 7.824852e-13 ,duration = 1.962211
dist = 1.776357e-13 ,duration = 1.930621
dist = 8.164580e-13 ,duration = 1.967766
dist = 4.840572e-13 ,duration = 1.976717
dist = 1.936229e-12 ,duration = 2.040410
dist = 7.466250e-14 ,duration = 1.982172
dist = 2.053469e-12 ,duration = 2.015289
dist = 1.074696e-13 ,duration = 1.922543
dist = 1.136868e-13 ,duration = 1.995310
dist = 2.023492e-12 ,duration = 1.965311
dist = 1.347367e-12 ,duration = 1.961112
dist = 4.522285e-12 ,duration = 1.918079
dist = 5.826450e-13 ,duration = 1.962954
dist = 1.794120e-13 ,duration = 1.924107
dist = 6.084022e-13 ,duration = 1.968914
dist = 8.322232e-13 ,duration = 1.953037
dist = 8.881784e-14 ,duration = 1.950127
dist = 7.105427e-15 ,duration = 1.968409
dist = 2.822853e-12 ,duration = 1.929812
dist = 1.207923e-13 ,duration = 1.984394
dist = 1.343814e-12 ,duration = 1.934678
dist = 1.417755e-12 ,duration = 1.956287
dist = 1.389999e-12 ,duration = 2.002941
dist = 6.510348e-13 ,duration = 1.967841
dist = 1.936229e-12 ,duration = 1.969195
dist = 1.435296e-12 ,duration = 1.984130
dist = 3.952394e-13 ,duration = 2.043080
dist = 3.261835e-13 ,duration = 1.971632
dist = 3.552714e-13 ,duration = 2.021699
dist = 8.997247e-13 ,duration = 1.982938
dist = 2.220446e-14 ,duration = 1.988655
dist = 5.684342e-14 ,duration = 1.955201
dist = 1.924017e-12 ,duration = 1.984557
dist = 3.597123e-13 ,duration = 2.000466
dist = 6.772360e-14 ,duration = 2.004984
dist = 1.195544e-12 ,duration = 2.005537
dist = 8.242296e-13 ,duration = 1.953726
dist = 8.029133e-13 ,duration = 1.996884
dist = 1.598721e-13 ,duration = 1.974049
dist = 8.955059e-13 ,duration = 1.984490
dist = 8.428813e-13 ,duration = 2.014121
dist = 4.867218e-13 ,duration = 1.956606
dist = 9.414691e-14 ,duration = 1.933857
dist = 5.577760e-13 ,duration = 1.971753
dist = 9.969803e-14 ,duration = 1.970849
dist = 2.309264e-13 ,duration = 1.982778
dist = 7.283063e-13 ,duration = 1.971281
dist = 3.765876e-13 ,duration = 1.965499
dist = 1.110223e-13 ,duration = 1.973180
dist = 7.399081e-13 ,duration = 1.967936
dist = 8.881784e-14 ,duration = 1.969864
dist = 2.220446e-14 ,duration = 1.974187
dist = 1.030287e-12 ,duration = 2.083920
dist = 1.264766e-12 ,duration = 1.944387
dist = 1.703582e-12 ,duration = 1.953686
dist = 3.446132e-13 ,duration = 1.957827
dist = 5.012796e-13 ,duration = 2.003844
dist = 2.844169e-12 ,duration = 1.968603
dist = 8.038015e-13 ,duration = 1.971989
dist = 1.478817e-12 ,duration = 1.968483
dist = 2.659825e-13 ,duration = 1.977160
dist = 1.958433e-12 ,duration = 1.997399
