n = 500000 ,dist = 6.622480e-12 ,duration = 1.361592e+00 ,selected_d = 7.784374e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.487898e+00 ,selected_d = 5.227990e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.370057e+00 ,selected_d = 6.058586e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.278950e+00 ,selected_d = 3.481904e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.279451e+00 ,selected_d = 3.115043e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.267406e+00 ,selected_d = 1.637697e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.317356e+00 ,selected_d = 7.718945e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.404477e+00 ,selected_d = 6.024769e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.428873e+00 ,selected_d = 1.733183e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.339256e+00 ,selected_d = 5.022358e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.248000e+00 ,selected_d = 2.833845e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.231465e+00 ,selected_d = 8.524628e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.326650e+00 ,selected_d = 3.094089e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.424664e+00 ,selected_d = 1.642003e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.299425e+00 ,selected_d = 3.841041e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.305176e+00 ,selected_d = 5.076303e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 2.175768e+00 ,selected_d = 8.751184e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.346989e+00 ,selected_d = 8.072303e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.370696e+00 ,selected_d = 9.093784e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.410462e+00 ,selected_d = 2.610765e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.321645e+00 ,selected_d = 1.403282e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.226503e+00 ,selected_d = 1.150368e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.236096e+00 ,selected_d = 3.141781e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.261614e+00 ,selected_d = 2.392664e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.291528e+00 ,selected_d = 4.235686e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.320930e+00 ,selected_d = 7.866147e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.642572e+00 ,selected_d = 1.186746e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.248098e+00 ,selected_d = 3.669215e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.387849e+00 ,selected_d = 6.249478e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.320583e+00 ,selected_d = 3.078943e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.254000e+00 ,selected_d = 2.879836e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.254890e+00 ,selected_d = 8.525928e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.927504e+00 ,selected_d = 1.689669e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.399619e+00 ,selected_d = 4.655327e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.393976e+00 ,selected_d = 2.130758e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.467446e+00 ,selected_d = 1.272165e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.397335e+00 ,selected_d = 2.726491e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.361912e+00 ,selected_d = 6.061592e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.319909e+00 ,selected_d = 4.745277e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.344658e+00 ,selected_d = 1.207131e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.326799e+00 ,selected_d = 8.593229e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.278769e+00 ,selected_d = 1.463363e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.348217e+00 ,selected_d = 1.833042e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.236976e+00 ,selected_d = 2.237783e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.303311e+00 ,selected_d = 6.285372e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.304575e+00 ,selected_d = 4.501522e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.306665e+00 ,selected_d = 4.624006e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.239600e+00 ,selected_d = 2.303752e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.523453e+00 ,selected_d = 1.612184e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 9.164546e+00 ,selected_d = 2.597426e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.227423e+00 ,selected_d = 1.486583e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.188371e+00 ,selected_d = 7.493674e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.793351e+00 ,selected_d = 1.247200e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.332849e+00 ,selected_d = 1.001582e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.188878e+00 ,selected_d = 8.243781e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.289125e+00 ,selected_d = 6.667863e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.297123e+00 ,selected_d = 1.538368e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.234375e+00 ,selected_d = 1.506737e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.156084e+00 ,selected_d = 3.710774e-09
n = 500000 ,dist = 6.622480e-12 ,duration = 1.126819e+00 ,selected_d = 1.974740e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.393026e+00 ,selected_d = 9.559136e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.213048e+00 ,selected_d = 6.737489e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.332821e+00 ,selected_d = 4.794509e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.421156e+00 ,selected_d = 6.237775e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.194603e+00 ,selected_d = 8.292131e-09
n = 500000 ,dist = 6.622480e-12 ,duration = 1.155600e+00 ,selected_d = 4.080972e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.139800e+00 ,selected_d = 2.570177e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.227626e+00 ,selected_d = 8.092470e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.131643e+00 ,selected_d = 1.160969e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.161700e+00 ,selected_d = 7.390885e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.210637e+00 ,selected_d = 1.223856e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.251250e+00 ,selected_d = 3.927608e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.204153e+00 ,selected_d = 1.056615e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.180569e+00 ,selected_d = 2.658106e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.292223e+00 ,selected_d = 1.567792e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.248315e+00 ,selected_d = 1.327203e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.160239e+00 ,selected_d = 4.758185e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.235483e+00 ,selected_d = 1.303289e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.248607e+00 ,selected_d = 1.129801e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.276874e+00 ,selected_d = 7.472665e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.162279e+00 ,selected_d = 3.297946e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.223168e+00 ,selected_d = 5.789555e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.274143e+00 ,selected_d = 1.829366e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.170891e+00 ,selected_d = 1.929720e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.161578e+00 ,selected_d = 8.903990e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.168557e+00 ,selected_d = 1.001939e-07
