dist = 1.820766e-13 ,duration = 2.316210 ,selected_d = 5.232008e-07
dist = 1.262102e-12 ,duration = 2.132796 ,selected_d = 3.679381e-08
dist = 3.312906e-13 ,duration = 2.383177 ,selected_d = 3.790746e-07
dist = 4.440892e-15 ,duration = 2.365592 ,selected_d = 2.274535e-07
dist = 6.023654e-13 ,duration = 2.199895 ,selected_d = 1.051681e-07
dist = 1.247891e-12 ,duration = 2.455628 ,selected_d = 4.499198e-07
dist = 2.101097e-13 ,duration = 2.470276 ,selected_d = 1.544556e-08
dist = 1.820766e-13 ,duration = 2.228446 ,selected_d = 7.528062e-08
dist = 6.190604e-13 ,duration = 2.312742 ,selected_d = 3.805920e-07
dist = 2.353673e-13 ,duration = 3.332249 ,selected_d = 1.887450e-07
dist = 1.796341e-13 ,duration = 2.515011 ,selected_d = 3.560109e-07
dist = 3.552714e-14 ,duration = 3.308734 ,selected_d = 8.974284e-07
dist = 1.314504e-13 ,duration = 2.137073 ,selected_d = 3.922620e-09
dist = 1.207923e-13 ,duration = 2.176826 ,selected_d = 9.944370e-08
dist = 1.030287e-13 ,duration = 2.734497 ,selected_d = 2.774720e-07
dist = 1.750024e-13 ,duration = 2.404811 ,selected_d = 3.664146e-07
dist = 2.309264e-13 ,duration = 2.487464 ,selected_d = 1.337191e-07
dist = 3.219647e-13 ,duration = 2.315622 ,selected_d = 3.115358e-07
dist = 2.284978e-13 ,duration = 2.326615 ,selected_d = 1.741730e-07
dist = 8.881784e-14 ,duration = 2.168908 ,selected_d = 1.873169e-07
dist = 5.073719e-13 ,duration = 2.249556 ,selected_d = 1.565072e-07
dist = 4.440892e-14 ,duration = 2.675661 ,selected_d = 4.486777e-07
dist = 4.707346e-14 ,duration = 2.077796 ,selected_d = 1.547640e-08
dist = 6.616929e-13 ,duration = 2.280488 ,selected_d = 1.699730e-07
dist = 4.836687e-13 ,duration = 2.563234 ,selected_d = 1.040323e-06
dist = 7.283063e-13 ,duration = 2.297678 ,selected_d = 2.548747e-08
dist = 1.778577e-13 ,duration = 2.230722 ,selected_d = 1.877788e-07
dist = 5.151435e-13 ,duration = 2.019267 ,selected_d = 9.359642e-09
dist = 3.161915e-13 ,duration = 2.282308 ,selected_d = 2.194103e-07
dist = 1.598721e-12 ,duration = 2.328388 ,selected_d = 1.313064e-07
dist = 1.410427e-12 ,duration = 2.413699 ,selected_d = 1.360932e-07
dist = 8.881784e-14 ,duration = 2.351375 ,selected_d = 2.446853e-07
dist = 7.072121e-13 ,duration = 2.163173 ,selected_d = 2.475338e-08
dist = 7.105427e-14 ,duration = 2.148419 ,selected_d = 7.954183e-08
dist = 3.996803e-13 ,duration = 2.263902 ,selected_d = 2.876051e-07
dist = 5.373479e-13 ,duration = 2.360189 ,selected_d = 2.700735e-07
dist = 2.309264e-13 ,duration = 2.440932 ,selected_d = 7.677590e-07
dist = 9.068302e-13 ,duration = 2.125425 ,selected_d = 4.282428e-08
dist = 7.824852e-13 ,duration = 2.244146 ,selected_d = 1.581230e-07
dist = 1.776357e-13 ,duration = 2.279773 ,selected_d = 2.284510e-07
dist = 8.164580e-13 ,duration = 2.344486 ,selected_d = 4.094791e-07
dist = 4.840572e-13 ,duration = 2.494734 ,selected_d = 3.577084e-07
dist = 1.936229e-12 ,duration = 2.577446 ,selected_d = 4.850340e-07
dist = 7.466250e-14 ,duration = 2.411172 ,selected_d = 5.497185e-07
dist = 2.053469e-12 ,duration = 2.195473 ,selected_d = 2.075883e-07
dist = 1.074696e-13 ,duration = 2.720019 ,selected_d = 1.387785e-07
dist = 1.136868e-13 ,duration = 3.469470 ,selected_d = 2.176777e-06
dist = 2.023492e-12 ,duration = 2.494656 ,selected_d = 8.339268e-07
dist = 1.347367e-12 ,duration = 2.255689 ,selected_d = 2.781864e-08
dist = 4.522285e-12 ,duration = 2.451261 ,selected_d = 1.469166e-07
dist = 5.826450e-13 ,duration = 2.505722 ,selected_d = 6.637665e-07
dist = 1.794120e-13 ,duration = 2.223788 ,selected_d = 4.202642e-07
dist = 6.084022e-13 ,duration = 2.419461 ,selected_d = 7.637809e-07
dist = 8.322232e-13 ,duration = 2.286504 ,selected_d = 1.321892e-07
dist = 8.881784e-14 ,duration = 2.311545 ,selected_d = 1.730791e-07
dist = 7.105427e-15 ,duration = 2.178119 ,selected_d = 4.562347e-08
dist = 2.822853e-12 ,duration = 2.271195 ,selected_d = 1.463413e-07
dist = 1.207923e-13 ,duration = 2.341528 ,selected_d = 1.735658e-07
dist = 1.343814e-12 ,duration = 2.259855 ,selected_d = 2.696571e-07
dist = 1.417755e-12 ,duration = 2.605136 ,selected_d = 1.143639e-06
dist = 1.389999e-12 ,duration = 2.281966 ,selected_d = 1.908641e-08
dist = 6.510348e-13 ,duration = 2.803474 ,selected_d = 3.428597e-07
dist = 1.936229e-12 ,duration = 2.303772 ,selected_d = 3.293981e-07
dist = 1.435296e-12 ,duration = 3.031643 ,selected_d = 3.251118e-07
dist = 3.952394e-13 ,duration = 2.230365 ,selected_d = 7.906209e-08
dist = 3.261835e-13 ,duration = 2.301521 ,selected_d = 3.308585e-07
dist = 3.552714e-13 ,duration = 2.359461 ,selected_d = 3.303513e-07
dist = 8.997247e-13 ,duration = 2.279623 ,selected_d = 2.455315e-07
dist = 2.220446e-14 ,duration = 2.389597 ,selected_d = 1.208271e-07
dist = 5.684342e-14 ,duration = 2.105005 ,selected_d = 1.231150e-07
dist = 1.924017e-12 ,duration = 2.238248 ,selected_d = 2.009149e-07
dist = 3.597123e-13 ,duration = 2.297142 ,selected_d = 3.933904e-07
