n = 500000 ,dist = 2.189360e-12 ,duration = 1.573617e+00 ,selected_d = 1.255069e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.741344e+00 ,selected_d = 1.051948e-06
n = 500000 ,dist = 2.189360e-12 ,duration = 1.536622e+00 ,selected_d = 7.050326e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.557375e+00 ,selected_d = 4.943570e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.671997e+00 ,selected_d = 1.883290e-06
n = 500000 ,dist = 2.189360e-12 ,duration = 1.708649e+00 ,selected_d = 4.613558e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.686932e+00 ,selected_d = 5.492427e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.596282e+00 ,selected_d = 6.986151e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.548803e+00 ,selected_d = 2.898443e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.532986e+00 ,selected_d = 4.996381e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.549953e+00 ,selected_d = 8.186673e-08
n = 500000 ,dist = 2.189360e-12 ,duration = 1.641584e+00 ,selected_d = 1.481934e-08
n = 500000 ,dist = 2.189360e-12 ,duration = 1.672681e+00 ,selected_d = 3.693105e-06
n = 500000 ,dist = 2.189360e-12 ,duration = 1.716253e+00 ,selected_d = 1.691322e-06
n = 500000 ,dist = 2.189360e-12 ,duration = 1.620649e+00 ,selected_d = 9.295347e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.594043e+00 ,selected_d = 9.206987e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.725234e+00 ,selected_d = 1.003445e-06
n = 500000 ,dist = 2.189360e-12 ,duration = 1.547457e+00 ,selected_d = 1.255097e-06
n = 500000 ,dist = 2.189360e-12 ,duration = 1.765856e+00 ,selected_d = 6.094235e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.703874e+00 ,selected_d = 4.579250e-08
n = 500000 ,dist = 2.189360e-12 ,duration = 1.668169e+00 ,selected_d = 1.285895e-06
