dist = 1.820766e-13 ,duration = 3.469760 ,selected_d = 5.824483e-08
dist = 1.262102e-12 ,duration = 3.330435 ,selected_d = 2.904081e-08
dist = 3.312906e-13 ,duration = 3.886940 ,selected_d = 3.022172e-07
dist = 4.440892e-15 ,duration = 3.283371 ,selected_d = 1.874930e-08
dist = 6.023654e-13 ,duration = 3.245718 ,selected_d = 4.602332e-08
dist = 1.247891e-12 ,duration = 3.261164 ,selected_d = 7.847122e-08
dist = 2.101097e-13 ,duration = 3.658400 ,selected_d = 7.719797e-08
dist = 1.820766e-13 ,duration = 3.425697 ,selected_d = 5.969100e-07
dist = 6.190604e-13 ,duration = 3.268942 ,selected_d = 2.786021e-07
dist = 2.353673e-13 ,duration = 3.187289 ,selected_d = 2.393869e-07
dist = 1.796341e-13 ,duration = 3.619605 ,selected_d = 4.522829e-07
dist = 3.552714e-14 ,duration = 3.368560 ,selected_d = 3.895994e-08
dist = 1.314504e-13 ,duration = 3.745225 ,selected_d = 2.033981e-07
dist = 1.207923e-13 ,duration = 3.516124 ,selected_d = 1.658475e-08
dist = 1.030287e-13 ,duration = 3.858634 ,selected_d = 4.854374e-07
dist = 1.750024e-13 ,duration = 3.294978 ,selected_d = 7.001793e-07
dist = 2.309264e-13 ,duration = 3.282893 ,selected_d = 7.312594e-07
dist = 3.219647e-13 ,duration = 3.423628 ,selected_d = 5.354555e-07
dist = 2.284978e-13 ,duration = 3.285895 ,selected_d = 9.636920e-08
dist = 8.881784e-14 ,duration = 3.193944 ,selected_d = 3.964083e-07
dist = 5.073719e-13 ,duration = 3.208932 ,selected_d = 9.890982e-09
dist = 4.440892e-14 ,duration = 3.273029 ,selected_d = 7.700275e-07
dist = 4.707346e-14 ,duration = 3.306928 ,selected_d = 5.695607e-07
dist = 6.616929e-13 ,duration = 3.494044 ,selected_d = 5.443103e-07
dist = 4.836687e-13 ,duration = 3.228737 ,selected_d = 5.004060e-08
dist = 7.283063e-13 ,duration = 3.653087 ,selected_d = 1.615562e-07
dist = 1.778577e-13 ,duration = 3.417769 ,selected_d = 4.478573e-07
dist = 5.151435e-13 ,duration = 3.306528 ,selected_d = 3.365794e-07
dist = 3.161915e-13 ,duration = 3.274746 ,selected_d = 1.765778e-07
dist = 1.598721e-12 ,duration = 3.638400 ,selected_d = 2.412784e-07
dist = 1.410427e-12 ,duration = 3.269119 ,selected_d = 6.011406e-07
dist = 8.881784e-14 ,duration = 3.405979 ,selected_d = 3.808419e-08
dist = 7.072121e-13 ,duration = 3.427989 ,selected_d = 3.672245e-07
dist = 7.105427e-14 ,duration = 3.289485 ,selected_d = 5.290460e-07
dist = 3.996803e-13 ,duration = 3.590487 ,selected_d = 9.303423e-08
dist = 5.373479e-13 ,duration = 3.400045 ,selected_d = 1.431682e-07
dist = 2.309264e-13 ,duration = 3.553078 ,selected_d = 2.819044e-07
dist = 9.068302e-13 ,duration = 3.347692 ,selected_d = 1.502516e-07
dist = 7.824852e-13 ,duration = 3.451907 ,selected_d = 3.644641e-08
dist = 1.776357e-13 ,duration = 3.239716 ,selected_d = 9.313961e-07
dist = 8.164580e-13 ,duration = 3.557715 ,selected_d = 2.647690e-08
dist = 4.840572e-13 ,duration = 3.517286 ,selected_d = 2.068392e-08
dist = 1.936229e-12 ,duration = 3.445438 ,selected_d = 3.024782e-07
dist = 7.466250e-14 ,duration = 3.777234 ,selected_d = 2.537682e-08
dist = 2.053469e-12 ,duration = 3.274619 ,selected_d = 7.530821e-08
dist = 1.074696e-13 ,duration = 3.193395 ,selected_d = 5.523448e-08
dist = 1.136868e-13 ,duration = 3.702529 ,selected_d = 1.147451e-06
dist = 2.023492e-12 ,duration = 3.555949 ,selected_d = 1.069837e-06
dist = 1.347367e-12 ,duration = 3.288540 ,selected_d = 1.428088e-07
dist = 4.522285e-12 ,duration = 3.460371 ,selected_d = 5.384509e-08
dist = 5.826450e-13 ,duration = 3.533790 ,selected_d = 7.717505e-08
dist = 1.794120e-13 ,duration = 3.347803 ,selected_d = 4.464735e-07
dist = 6.084022e-13 ,duration = 3.416503 ,selected_d = 8.703602e-08
dist = 8.322232e-13 ,duration = 3.269917 ,selected_d = 5.595761e-07
dist = 8.881784e-14 ,duration = 3.390374 ,selected_d = 5.892575e-07
dist = 7.105427e-15 ,duration = 3.301415 ,selected_d = 1.032506e-08
dist = 2.822853e-12 ,duration = 3.354363 ,selected_d = 9.909797e-08
dist = 1.207923e-13 ,duration = 3.241150 ,selected_d = 3.657009e-07
dist = 1.343814e-12 ,duration = 3.292100 ,selected_d = 2.744106e-07
dist = 1.417755e-12 ,duration = 3.195078 ,selected_d = 4.993734e-07
dist = 1.389999e-12 ,duration = 3.221156 ,selected_d = 1.386870e-07
dist = 6.510348e-13 ,duration = 3.410130 ,selected_d = 3.781750e-07
dist = 1.936229e-12 ,duration = 3.561444 ,selected_d = 1.560882e-07
dist = 1.435296e-12 ,duration = 3.329643 ,selected_d = 9.724527e-07
dist = 3.952394e-13 ,duration = 3.310311 ,selected_d = 1.215115e-08
dist = 3.261835e-13 ,duration = 3.232038 ,selected_d = 1.192270e-07
dist = 3.552714e-13 ,duration = 3.603580 ,selected_d = 1.498762e-06
dist = 8.997247e-13 ,duration = 3.677311 ,selected_d = 6.483065e-07
dist = 2.220446e-14 ,duration = 4.345449 ,selected_d = 1.175125e-07
dist = 5.684342e-14 ,duration = 3.578710 ,selected_d = 2.594920e-09
dist = 1.924017e-12 ,duration = 3.308267 ,selected_d = 7.248003e-08
dist = 3.597123e-13 ,duration = 3.418863 ,selected_d = 2.540450e-07
dist = 6.772360e-14 ,duration = 3.211201 ,selected_d = 1.677452e-08
dist = 1.195544e-12 ,duration = 3.269829 ,selected_d = 3.503630e-08
dist = 8.242296e-13 ,duration = 3.298688 ,selected_d = 6.986719e-07
dist = 8.029133e-13 ,duration = 3.205706 ,selected_d = 1.070022e-07
dist = 1.598721e-13 ,duration = 3.263900 ,selected_d = 4.859453e-08
dist = 8.955059e-13 ,duration = 3.492609 ,selected_d = 1.381009e-07
dist = 8.428813e-13 ,duration = 3.473831 ,selected_d = 1.829252e-07
dist = 4.867218e-13 ,duration = 3.399047 ,selected_d = 2.350631e-07
dist = 9.414691e-14 ,duration = 3.239558 ,selected_d = 3.411689e-09
dist = 5.577760e-13 ,duration = 3.931669 ,selected_d = 3.434962e-07
dist = 9.969803e-14 ,duration = 3.801618 ,selected_d = 3.790497e-07
dist = 2.309264e-13 ,duration = 3.628913 ,selected_d = 1.618882e-07
dist = 7.283063e-13 ,duration = 3.853944 ,selected_d = 2.205544e-07
dist = 3.765876e-13 ,duration = 3.244202 ,selected_d = 4.339442e-07
dist = 1.110223e-13 ,duration = 3.302098 ,selected_d = 1.539117e-07
dist = 7.399081e-13 ,duration = 3.267567 ,selected_d = 1.143362e-06
dist = 8.881784e-14 ,duration = 3.620225 ,selected_d = 1.539391e-06
dist = 2.220446e-14 ,duration = 3.467930 ,selected_d = 2.172730e-07
dist = 1.030287e-12 ,duration = 3.296857 ,selected_d = 5.100678e-07
dist = 1.264766e-12 ,duration = 3.248487 ,selected_d = 3.333244e-07
dist = 1.703582e-12 ,duration = 3.190588 ,selected_d = 2.237590e-08
dist = 3.446132e-13 ,duration = 3.467724 ,selected_d = 5.637833e-09
dist = 5.012796e-13 ,duration = 3.258175 ,selected_d = 2.371297e-07
dist = 2.844169e-12 ,duration = 3.343022 ,selected_d = 4.949090e-08
dist = 8.038015e-13 ,duration = 3.291507 ,selected_d = 3.470655e-08
dist = 1.478817e-12 ,duration = 3.366747 ,selected_d = 5.079500e-08
dist = 2.659825e-13 ,duration = 3.379743 ,selected_d = 1.081152e-07
dist = 1.958433e-12 ,duration = 3.452595 ,selected_d = 1.410948e-07
