n = 500000 ,dist = 6.622480e-12 ,duration = 1.809990e+00 ,selected_d = 6.534410e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.681942e+00 ,selected_d = 5.916675e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.622335e+00 ,selected_d = 2.949694e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.776669e+00 ,selected_d = 6.042050e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.806284e+00 ,selected_d = 1.021782e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.832929e+00 ,selected_d = 1.394509e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.717909e+00 ,selected_d = 6.831471e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.677979e+00 ,selected_d = 4.184965e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.736784e+00 ,selected_d = 1.301108e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.884689e+00 ,selected_d = 7.478247e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.780506e+00 ,selected_d = 3.544998e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.654457e+00 ,selected_d = 2.248599e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.681391e+00 ,selected_d = 7.937967e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.709146e+00 ,selected_d = 6.731173e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.667143e+00 ,selected_d = 1.268819e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.659102e+00 ,selected_d = 5.252793e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.653339e+00 ,selected_d = 1.028957e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.825641e+00 ,selected_d = 6.644422e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.681945e+00 ,selected_d = 2.399578e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.679024e+00 ,selected_d = 6.093538e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.635871e+00 ,selected_d = 2.116137e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.627190e+00 ,selected_d = 1.752600e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.625896e+00 ,selected_d = 5.520798e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.627833e+00 ,selected_d = 4.850436e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.761223e+00 ,selected_d = 7.391690e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.624800e+00 ,selected_d = 1.035808e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 2.009738e+00 ,selected_d = 4.578966e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.612741e+00 ,selected_d = 2.043335e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.662198e+00 ,selected_d = 1.020660e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 2.129523e+00 ,selected_d = 1.106150e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.756988e+00 ,selected_d = 4.436340e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.768681e+00 ,selected_d = 1.818688e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.656703e+00 ,selected_d = 9.191589e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.753443e+00 ,selected_d = 8.157616e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.989716e+00 ,selected_d = 1.034728e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 2.056278e+00 ,selected_d = 3.802886e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.910469e+00 ,selected_d = 9.532894e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.816975e+00 ,selected_d = 1.585250e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.749682e+00 ,selected_d = 1.242607e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.649103e+00 ,selected_d = 2.074813e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.658578e+00 ,selected_d = 1.890467e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.673417e+00 ,selected_d = 1.494055e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.642516e+00 ,selected_d = 6.346426e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.665340e+00 ,selected_d = 3.972051e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.781250e+00 ,selected_d = 8.158473e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.913476e+00 ,selected_d = 5.279844e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.800268e+00 ,selected_d = 8.469484e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.723865e+00 ,selected_d = 1.033515e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.711811e+00 ,selected_d = 1.021994e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.734861e+00 ,selected_d = 3.645391e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.690516e+00 ,selected_d = 4.781763e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.617622e+00 ,selected_d = 1.387282e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.577701e+00 ,selected_d = 1.130641e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.720976e+00 ,selected_d = 1.169783e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.571721e+00 ,selected_d = 1.956024e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.668955e+00 ,selected_d = 5.616034e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.527827e+00 ,selected_d = 2.543721e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.631234e+00 ,selected_d = 9.661624e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.572130e+00 ,selected_d = 3.342331e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.633729e+00 ,selected_d = 8.108091e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.535133e+00 ,selected_d = 8.016956e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.728815e+00 ,selected_d = 1.334555e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.728556e+00 ,selected_d = 7.654975e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.630015e+00 ,selected_d = 1.164096e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.707743e+00 ,selected_d = 1.515685e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.482487e+00 ,selected_d = 5.275800e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.593068e+00 ,selected_d = 3.862237e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.482015e+00 ,selected_d = 2.099483e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.550063e+00 ,selected_d = 5.908990e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.512095e+00 ,selected_d = 3.698092e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.545121e+00 ,selected_d = 7.630377e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.512262e+00 ,selected_d = 4.237202e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.678919e+00 ,selected_d = 5.376793e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.607370e+00 ,selected_d = 1.602089e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.508923e+00 ,selected_d = 3.111109e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.490940e+00 ,selected_d = 1.780227e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.507662e+00 ,selected_d = 2.544081e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.497805e+00 ,selected_d = 1.217672e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.643709e+00 ,selected_d = 4.769227e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.585805e+00 ,selected_d = 4.459261e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.479689e+00 ,selected_d = 2.695792e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.533756e+00 ,selected_d = 1.002830e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.530778e+00 ,selected_d = 9.278148e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.493571e+00 ,selected_d = 5.309425e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.484914e+00 ,selected_d = 2.199148e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.477772e+00 ,selected_d = 7.710523e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.518467e+00 ,selected_d = 1.039871e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.545487e+00 ,selected_d = 3.490628e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.515484e+00 ,selected_d = 6.641258e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.475775e+00 ,selected_d = 4.968638e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.655032e+00 ,selected_d = 7.523271e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.592420e+00 ,selected_d = 8.310757e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.545921e+00 ,selected_d = 8.808719e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.677742e+00 ,selected_d = 1.723040e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.481696e+00 ,selected_d = 2.241462e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.469684e+00 ,selected_d = 3.066332e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.662756e+00 ,selected_d = 1.003067e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.570831e+00 ,selected_d = 5.354640e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.615462e+00 ,selected_d = 3.753830e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.730088e+00 ,selected_d = 6.874177e-07
