dist = 1.820766e-13 ,duration = 3.469760 , selected_d = 6.142942e-07
dist = 1.262102e-12 ,duration = 3.330435 , selected_d = 1.552247e-07
dist = 3.312906e-13 ,duration = 3.886940 , selected_d = 2.046809e-07
dist = 4.440892e-15 ,duration = 3.283371 , selected_d = 2.430857e-07
dist = 6.023654e-13 ,duration = 3.245718 , selected_d = 2.414880e-08
dist = 1.247891e-12 ,duration = 3.261164 , selected_d = 4.373259e-07
dist = 2.101097e-13 ,duration = 3.658400 , selected_d = 1.468749e-06
dist = 1.820766e-13 ,duration = 3.425697 , selected_d = 3.573761e-07
dist = 6.190604e-13 ,duration = 3.268942 , selected_d = 5.454768e-08
dist = 2.353673e-13 ,duration = 3.187289 , selected_d = 2.199911e-07
dist = 1.796341e-13 ,duration = 3.619605 , selected_d = 7.000782e-07
dist = 3.552714e-14 ,duration = 3.368560 , selected_d = 2.270485e-07
dist = 1.314504e-13 ,duration = 3.745225 , selected_d = 4.998539e-07
dist = 1.207923e-13 ,duration = 3.516124 , selected_d = 6.408179e-07
dist = 1.030287e-13 ,duration = 3.858634 , selected_d = 1.138110e-06
dist = 1.750024e-13 ,duration = 3.294978 , selected_d = 1.729549e-07
dist = 2.309264e-13 ,duration = 3.282893 , selected_d = 4.554623e-08
dist = 3.219647e-13 ,duration = 3.423628 , selected_d = 4.186027e-07
dist = 2.284978e-13 ,duration = 3.285895 , selected_d = 2.788252e-07
dist = 8.881784e-14 ,duration = 3.193944 , selected_d = 1.283606e-07
dist = 5.073719e-13 ,duration = 3.208932 , selected_d = 1.647850e-07
dist = 4.440892e-14 ,duration = 3.273029 , selected_d = 2.449410e-08
dist = 4.707346e-14 ,duration = 3.306928 , selected_d = 3.846907e-07
dist = 6.616929e-13 ,duration = 3.494044 , selected_d = 5.862543e-07
dist = 4.836687e-13 ,duration = 3.228737 , selected_d = 1.140481e-07
dist = 7.283063e-13 ,duration = 3.653087 , selected_d = 1.561502e-06
dist = 1.778577e-13 ,duration = 3.417769 , selected_d = 2.920554e-08
dist = 5.151435e-13 ,duration = 3.306528 , selected_d = 1.426873e-07
dist = 3.161915e-13 ,duration = 3.274746 , selected_d = 9.745250e-08
dist = 1.598721e-12 ,duration = 3.638400 , selected_d = 4.039306e-07
dist = 1.410427e-12 ,duration = 3.269119 , selected_d = 1.424361e-07
dist = 8.881784e-14 ,duration = 3.405979 , selected_d = 3.985997e-07
dist = 7.072121e-13 ,duration = 3.427989 , selected_d = 3.386784e-07
dist = 7.105427e-14 ,duration = 3.289485 , selected_d = 2.177370e-07
dist = 3.996803e-13 ,duration = 3.590487 , selected_d = 4.182199e-07
dist = 5.373479e-13 ,duration = 3.400045 , selected_d = 2.472288e-07
dist = 2.309264e-13 ,duration = 3.553078 , selected_d = 7.888032e-07
dist = 9.068302e-13 ,duration = 3.347692 , selected_d = 1.545908e-07
dist = 7.824852e-13 ,duration = 3.451907 , selected_d = 6.728310e-07
dist = 1.776357e-13 ,duration = 3.239716 , selected_d = 5.864411e-09
dist = 8.164580e-13 ,duration = 3.557715 , selected_d = 9.179553e-07
dist = 4.840572e-13 ,duration = 3.517286 , selected_d = 7.368304e-07
dist = 1.936229e-12 ,duration = 3.445438 , selected_d = 5.682575e-07
dist = 7.466250e-14 ,duration = 3.777234 , selected_d = 1.288081e-06
dist = 2.053469e-12 ,duration = 3.274619 , selected_d = 2.646170e-08
dist = 1.074696e-13 ,duration = 3.193395 , selected_d = 5.384192e-08
dist = 1.136868e-13 ,duration = 3.702529 , selected_d = 1.224523e-06
dist = 2.023492e-12 ,duration = 3.555949 , selected_d = 2.862663e-07
dist = 1.347367e-12 ,duration = 3.288540 , selected_d = 3.910853e-08
dist = 4.522285e-12 ,duration = 3.460371 , selected_d = 1.656247e-07
dist = 5.826450e-13 ,duration = 3.533790 , selected_d = 3.682108e-07
dist = 1.794120e-13 ,duration = 3.347803 , selected_d = 1.799615e-07
dist = 6.084022e-13 ,duration = 3.416503 , selected_d = 2.808393e-07
dist = 8.322232e-13 ,duration = 3.269917 , selected_d = 1.221594e-07
dist = 8.881784e-14 ,duration = 3.390374 , selected_d = 3.160520e-07
dist = 7.105427e-15 ,duration = 3.301415 , selected_d = 1.162675e-07
dist = 2.822853e-12 ,duration = 3.354363 , selected_d = 1.360527e-07
dist = 1.207923e-13 ,duration = 3.241150 , selected_d = 6.003152e-08
dist = 1.343814e-12 ,duration = 3.292100 , selected_d = 2.041310e-07
dist = 1.417755e-12 ,duration = 3.195078 , selected_d = 9.368060e-08
dist = 1.389999e-12 ,duration = 3.221156 , selected_d = 5.713685e-08
dist = 6.510348e-13 ,duration = 3.410130 , selected_d = 3.318763e-07
dist = 1.936229e-12 ,duration = 3.561444 , selected_d = 5.309423e-07
